ID,Polarity textblob,neg_vader,pos_vader,compound_vader,Neg_Loughran
1,0.1307017029155584,0.053,0.109,0.9985,0.058163265306122446
2,0.02723273103707886,0.106,0.073,-0.863,0.08602150537634409
3,0.053915601594173024,0.06,0.131,0.9992,0.05361659079413252
4,0.11041666666666668,0.085,0.13,0.7117,0.057692307692307696
5,0.2627840909090909,0.0,0.143,0.977,0.11330049261083744
6,-0.11923500881834219,0.032,0.098,0.6946,0.13333333333333333
7,0.3236842105263158,0.039,0.129,0.9656,0.08270676691729323
8,0.09333333333333334,0.027,0.076,0.5267,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.10539285913595303,0.078,0.147,0.9992,0.08624338624338625
11,0.08150698845164205,0.094,0.098,0.9289,0.07468531468531468
12,0.07688148996972528,0.069,0.099,0.9956,0.06714876033057851
13,0.05823327615780446,0.078,0.144,0.9931,0.1076923076923077
14,0.06826855177919006,0.092,0.138,0.9773,0.09038461538461538
15,-0.08304398148148148,0.069,0.072,-0.3053,0.1023391812865497
16,0.1764895192526771,0.14,0.083,-0.9901,0.1039426523297491
17,0.12408646908646909,0.104,0.022,-0.9672,0.11469534050179211
18,0.1,0.0,0.0,0.0,0.05
19,0.11986719877344877,0.084,0.16,0.9871,0.10093896713615023
20,0.06941071739563118,0.049,0.119,0.9982,0.07567567567567568
21,0.04148773448773448,0.081,0.066,-0.8076,0.06476683937823834
22,-0.24500000000000002,0.189,0.174,-0.1907,0.18604651162790697
23,0.07233294483294485,0.11,0.098,-0.8072,0.08879184861717612
24,0.0,0.045,0.027,-0.2263,0.037037037037037035
25,0.12020030234315951,0.086,0.14,0.9953,0.08032955715756952
26,0.0,0.0,0.0,0.0,0.11764705882352941
27,0.0,0.0,0.187,0.4404,0.0
28,0.1048241905663781,0.052,0.15,0.9979,0.06064516129032258
29,0.1758352534562212,0.062,0.145,0.997,0.06862745098039216
30,-0.2,0.223,0.104,-0.5106,0.0625
31,0.07348484848484847,0.074,0.095,0.7277,0.04878048780487805
32,0.07796717171717173,0.055,0.085,0.8136,0.06666666666666667
33,0.0379728835978836,0.043,0.104,0.9911,0.04518950437317784
34,0.06519339967391914,0.059,0.116,0.9921,0.06807511737089202
35,0.07062500000000001,0.083,0.113,0.6968,0.08333333333333333
36,0.19166666666666665,0.0,0.0,0.0,0.02564102564102564
37,-0.12666666666666665,0.042,0.036,-0.0772,0.0784313725490196
38,0.0,0.0,0.0,0.0,0.0
39,0.055391862346407805,0.035,0.058,0.7746,0.043835616438356165
40,0.011805555555555548,0.103,0.142,0.9859,0.12344139650872818
41,-0.1,0.224,0.121,-0.4588,0.12
42,0.2039902126858648,0.076,0.146,0.993,0.08401976935749589
43,0.043214285714285705,0.116,0.132,0.2661,0.12138728323699421
44,0.12756928609982052,0.052,0.129,0.999,0.07915057915057915
45,0.15169871794871795,0.073,0.125,0.9833,0.039473684210526314
46,-0.028044871794871792,0.049,0.076,0.4904,0.0916030534351145
47,0.1257185592185592,0.031,0.127,0.997,0.04441453566621804
48,0.20555555555555557,0.0,0.124,0.9042,0.02912621359223301
49,0.1166666666666667,0.058,0.112,0.504,0.02857142857142857
50,0.028305785123966934,0.036,0.207,0.9607,0.07142857142857142
